date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:03	866/866	---M--	200	added ('OK')	image/gif	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/preloader.gif	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/preloader.gif	(from https://designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/default-skin.css)
00:04:04	8177/8177	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/ab-1.jpeg	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/img/ab-1.jpg	(from https://designreset.com/cork/ltr/demo3/assets/css/elements/alert.css)
00:04:04	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.eot	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.eot	(from https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/css/regular.css)
00:04:05	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.eot?	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/css/regular.css)
00:04:05	14868/14868	---M--	200	added ('OK')	font/woff2	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff2	(from https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/css/regular.css)
00:04:05	18168/18168	---M--	200	added ('OK')	font/woff	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff	(from https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/css/regular.css)
00:04:06	40348/40348	---M--	200	added ('OK')	font/ttf	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.ttf	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.ttf	(from https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/css/regular.css)
00:04:07	142267/142267	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.svg	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/webfonts/fa-regular-400.svg	(from https://designreset.com/cork/ltr/demo3/plugins/font-icons/fontawesome/css/regular.css)
00:04:07	5344/5344	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.eot	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.eot	(from https://designreset.com/cork/ltr/demo3/plugins/dropify/dropify.min.css)
00:04:07	3052/3052	---M--	200	added ('OK')	font/woff	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.woff	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.woff	(from https://designreset.com/cork/ltr/demo3/plugins/dropify/dropify.min.css)
00:04:08	5180/5180	---M--	200	added ('OK')	font/ttf	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.ttf	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.ttf	(from https://designreset.com/cork/ltr/demo3/plugins/dropify/dropify.min.css)
00:04:08	1969/1969	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.svg	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/dropify/fonts/dropify.svg	(from https://designreset.com/cork/ltr/demo3/plugins/dropify/dropify.min.css)
